movie_id,cast,crew
19995,"[{""cast_id"": 242, ""character"": ""Jake Sully"", ""credit_id"": ""5602a8a7c3a3685532001c9a"", ""gender"": 2, ""id"": 65731, ""name"": ""Sam Worthington"", ""order"": 0}, {""cast_id"": 3, ""character"": ""Neytiri"", ""credit_id"": ""52fe48009251416c750ac9cb"", ""gender"": 1, ""id"": 8691, ""name"": ""Zoe Saldana"", ""order"": 1}, {""cast_id"": 25, ""character"": ""Dr. Grace Augustine"", ""credit_id"": ""52fe48009251416c750aca39"", ""gender"": 1, ""id"": 10205, ""name"": ""Sigourney Weaver"", ""order"": 2}]","[{""credit_id"": ""52fe48009251416c750ac9c3"", ""department"": ""Directing"", ""gender"": 2, ""id"": 2710, ""job"": ""Director"", ""name"": ""James Cameron""}]"
285,"[{""cast_id"": 4, ""character"": ""Captain Jack Sparrow"", ""credit_id"": ""52fe4232c3a36847f800b50d"", ""gender"": 2, ""id"": 85, ""name"": ""Johnny Depp"", ""order"": 0}, {""cast_id"": 5, ""character"": ""Will Turner"", ""credit_id"": ""52fe4232c3a36847f800b511"", ""gender"": 2, ""id"": 114, ""name"": ""Orlando Bloom"", ""order"": 1}, {""cast_id"": 6, ""character"": ""Elizabeth Swann"", ""credit_id"": ""52fe4232c3a36847f800b515"", ""gender"": 1, ""id"": 116, ""name"": ""Keira Knightley"", ""order"": 2}]","[{""credit_id"": ""52fe4232c3a36847f800b4fd"", ""department"": ""Directing"", ""gender"": 2, ""id"": 1704, ""job"": ""Director"", ""name"": ""Gore Verbinski""}]"
206647,"[{""cast_id"": 1, ""character"": ""James Bond"", ""credit_id"": ""52fe4d22c3a368484e1d8d6b"", ""gender"": 2, ""id"": 8784, ""name"": ""Daniel Craig"", ""order"": 0}, {""cast_id"": 14, ""character"": ""Blofeld"", ""credit_id"": ""54805866c3a36829ab002592"", ""gender"": 2, ""id"": 27319, ""name"": ""Christoph Waltz"", ""order"": 1}, {""cast_id"": 13, ""character"": ""Madeleine"", ""credit_id"": ""546f934fc3a3682f9a002ca5"", ""gender"": 1, ""id"": 121529, ""name"": ""L\u00e9a Seydoux"", ""order"": 2}]","[{""credit_id"": ""52fe4d22c3a368484e1d8d77"", ""department"": ""Directing"", ""gender"": 2, ""id"": 39, ""job"": ""Director"", ""name"": ""Sam Mendes""}]"
49026,"[{""cast_id"": 2, ""character"": ""Bruce Wayne / Batman"", ""credit_id"": ""52fe4781c3a36847f8139869"", ""gender"": 2, ""id"": 3894, ""name"": ""Christian Bale"", ""order"": 0}, {""cast_id"": 8, ""character"": ""Alfred Pennyworth"", ""credit_id"": ""52fe4781c3a36847f8139881"", ""gender"": 2, ""id"": 3895, ""name"": ""Michael Caine"", ""order"": 1}, {""cast_id"": 5, ""character"": ""James Gordon"", ""credit_id"": ""52fe4781c3a36847f8139875"", ""gender"": 2, ""id"": 64, ""name"": ""Gary Oldman"", ""order"": 2}]","[{""credit_id"": ""52fe4781c3a36847f8139865"", ""department"": ""Directing"", ""gender"": 2, ""id"": 525, ""job"": ""Director"", ""name"": ""Christopher Nolan""}]"
49529,"[{""cast_id"": 5, ""character"": ""John Carter"", ""credit_id"": ""52fe479ac3a36847f813ea75"", ""gender"": 2, ""id"": 60900, ""name"": ""Taylor Kitsch"", ""order"": 0}, {""cast_id"": 20, ""character"": ""Dejah Thoris"", ""credit_id"": ""52fe479ac3a36847f813eab3"", ""gender"": 1, ""id"": 21044, ""name"": ""Lynn Collins"", ""order"": 1}, {""cast_id"": 7, ""character"": ""Sola"", ""credit_id"": ""52fe479ac3a36847f813ea79"", ""gender"": 1, ""id"": 2206, ""name"": ""Samantha Morton"", ""order"": 2}]","[{""credit_id"": ""52fe479ac3a36847f813ea65"", ""department"": ""Directing"", ""gender"": 2, ""id"": 7, ""job"": ""Director"", ""name"": ""Andrew Stanton""}]"
559,"[{""cast_id"": 30, ""character"": ""Peter Parker / Spider-Man"", ""credit_id"": ""52fe4252c3a36847f80151c7"", ""gender"": 2, ""id"": 2219, ""name"": ""Tobey Maguire"", ""order"": 0}, {""cast_id"": 7, ""character"": ""Mary Jane Watson"", ""credit_id"": ""52fe4252c3a36847f801514f"", ""gender"": 1, ""id"": 205, ""name"": ""Kirsten Dunst"", ""order"": 1}, {""cast_id"": 35, ""character"": ""Harry Osborn / New Goblin"", ""credit_id"": ""52fe4252c3a36847f80151db"", ""gender"": 2, ""id"": 17051, ""name"": ""James Franco"", ""order"": 2}]","[{""credit_id"": ""52fe4252c3a36847f801512d"", ""department"": ""Directing"", ""gender"": 2, ""id"": 7623, ""job"": ""Director"", ""name"": ""Sam Raimi""}]"
38757,"[{""cast_id"": 34, ""character"": ""Flynn Rider (voice)"", ""credit_id"": ""530d35bf9251411435001765"", ""gender"": 2, ""id"": 69899, ""name"": ""Zachary Levi"", ""order"": 0}, {""cast_id"": 33, ""character"": ""Rapunzel (voice)"", ""credit_id"": ""530d35a2925141141e0017ff"", ""gender"": 1, ""id"": 16855, ""name"": ""Mandy Moore"", ""order"": 1}, {""cast_id"": 35, ""character"": ""Mother Gothel (voice)"", ""credit_id"": ""530d35d4925141141e001802"", ""gender"": 1, ""id"": 2517, ""name"": ""Donna Murphy"", ""order"": 2}]","[{""credit_id"": ""52fe46db9251416c910620bf"", ""department"": ""Directing"", ""gender"": 2, ""id"": 76595, ""job"": ""Director"", ""name"": ""Byron Howard""}, {""credit_id"": ""52fe46db9251416c910620ad"", ""department"": ""Directing"", ""gender"": 2, ""id"": 121830, ""job"": ""Director"", ""name"": ""Nathan Greno""}]"
99861,"[{""cast_id"": 76, ""character"": ""Tony Stark / Iron Man"", ""credit_id"": ""55e256d292514162cd000e40"", ""gender"": 2, ""id"": 3223, ""name"": ""Robert Downey Jr."", ""order"": 0}, {""cast_id"": 8, ""character"": ""Thor Odinson"", ""credit_id"": ""52fe4a449251416c750e3455"", ""gender"": 2, ""id"": 74568, ""name"": ""Chris Hemsworth"", ""order"": 1}, {""cast_id"": 15, ""character"": ""Bruce Banner / Hulk"", ""credit_id"": ""52fe4a449251416c750e3471"", ""gender"": 2, ""id"": 103, ""name"": ""Mark Ruffalo"", ""order"": 2}]","[{""credit_id"": ""52fe4a449251416c750e3439"", ""department"": ""Directing"", ""gender"": 2, ""id"": 12891, ""job"": ""Director"", ""name"": ""Joss Whedon""}]"
767,"[{""cast_id"": 3, ""character"": ""Harry Potter"", ""credit_id"": ""52fe4273c3a36847f801fa73"", ""gender"": 2, ""id"": 10980, ""name"": ""Daniel Radcliffe"", ""order"": 0}, {""cast_id"": 2, ""character"": ""Ron Weasley"", ""credit_id"": ""52fe4273c3a36847f801fa6f"", ""gender"": 2, ""id"": 10989, ""name"": ""Rupert Grint"", ""order"": 1}, {""cast_id"": 1, ""character"": ""Hermione Granger"", ""credit_id"": ""52fe4273c3a36847f801fa6b"", ""gender"": 1, ""id"": 10990, ""name"": ""Emma Watson"", ""order"": 2}]","[{""credit_id"": ""52fe4273c3a36847f801fa81"", ""department"": ""Directing"", ""gender"": 2, ""id"": 11343, ""job"": ""Director"", ""name"": ""David Yates""}]"
209112,"[{""cast_id"": 18, ""character"": ""Bruce Wayne / Batman"", ""credit_id"": ""52fe4d5bc3a368484e1e4c65"", ""gender"": 2, ""id"": 880, ""name"": ""Ben Affleck"", ""order"": 0}, {""cast_id"": 14, ""character"": ""Clark Kent / Superman"", ""credit_id"": ""52fe4d5bc3a368484e1e4c55"", ""gender"": 2, ""id"": 73968, ""name"": ""Henry Cavill"", ""order"": 1}, {""cast_id"": 19, ""character"": ""Diana Prince / Wonder Woman"", ""credit_id"": ""52fe4d5bc3a368484e1e4c69"", ""gender"": 1, ""id"": 90633, ""name"": ""Gal Gadot"", ""order"": 2}]","[{""credit_id"": ""52fe4d5bc3a368484e1e4c15"", ""department"": ""Directing"", ""gender"": 2, ""id"": 15217, ""job"": ""Director"", ""name"": ""Zack Snyder""}]"
1452,"[{""cast_id"": 3, ""character"": ""Superman / Clark Kent"", ""credit_id"": ""52fe42f8c3a36847f8030b65"", ""gender"": 2, ""id"": 17271, ""name"": ""Brandon Routh"", ""order"": 0}, {""cast_id"": 1, ""character"": ""Lex Luthor"", ""credit_id"": ""52fe42f8c3a36847f8030b61"", ""gender"": 2, ""id"": 1979, ""name"": ""Kevin Spacey"", ""order"": 1}, {""cast_id"": 4, ""character"": ""Lois Lane"", ""credit_id"": ""52fe42f8c3a36847f8030b69"", ""gender"": 1, ""id"": 7517, ""name"": ""Kate Bosworth"", ""order"": 2}]","[{""credit_id"": ""52fe42f8c3a36847f8030b6f"", ""department"": ""Directing"", ""gender"": 2, ""id"": 9032, ""job"": ""Director"", ""name"": ""Bryan Singer""}]"
10764,"[{""cast_id"": 1, ""character"": ""James Bond"", ""credit_id"": ""52fe43b29251416c7501aa5d"", ""gender"": 2, ""id"": 8784, ""name"": ""Daniel Craig"", ""order"": 0}, {""cast_id"": 17, ""character"": ""Camille Montes"", ""credit_id"": ""52fe43b29251416c7501aab5"", ""gender"": 1, ""id"": 18182, ""name"": ""Olga Kurylenko"", ""order"": 1}, {""cast_id"": 18, ""character"": ""Dominic Greene"", ""credit_id"": ""52fe43b29251416c7501aab9"", ""gender"": 2, ""id"": 8789, ""name"": ""Mathieu Amalric"", ""order"": 2}]","[{""credit_id"": ""52fe43b39251416c7501aadb"", ""department"": ""Directing"", ""gender"": 2, ""id"": 12995, ""job"": ""Director"", ""name"": ""Marc Forster""}]"
58,"[{""cast_id"": 37, ""character"": ""Captain Jack Sparrow"", ""credit_id"": ""52fe4212c3a36847f80018c3"", ""gender"": 2, ""id"": 85, ""name"": ""Johnny Depp"", ""order"": 0}, {""cast_id"": 3, ""character"": ""Will Turner"", ""credit_id"": ""52fe4211c3a36847f8001823"", ""gender"": 2, ""id"": 114, ""name"": ""Orlando Bloom"", ""order"": 1}, {""cast_id"": 2, ""character"": ""Elizabeth Swann"", ""credit_id"": ""52fe4211c3a36847f800181f"", ""gender"": 1, ""id"": 116, ""name"": ""Keira Knightley"", ""order"": 2}]","[{""credit_id"": ""52fe4211c3a36847f800182d"", ""department"": ""Directing"", ""gender"": 2, ""id"": 1704, ""job"": ""Director"", ""name"": ""Gore Verbinski""}]"
57201,"[{""cast_id"": 4, ""character"": ""Tonto"", ""credit_id"": ""52fe4928c3a36847f818be99"", ""gender"": 2, ""id"": 85, ""name"": ""Johnny Depp"", ""order"": 0}, {""cast_id"": 5, ""character"": ""John Reid / The Lone Ranger"", ""credit_id"": ""52fe4928c3a36847f818be9d"", ""gender"": 2, ""id"": 53807, ""name"": ""Armie Hammer"", ""order"": 1}, {""cast_id"": 9, ""character"": ""Butch Cavendish"", ""credit_id"": ""52fe4928c3a36847f818bead"", ""gender"": 2, ""id"": 886, ""name"": ""William Fichtner"", ""order"": 2}]","[{""credit_id"": ""52fe4928c3a36847f818be95"", ""department"": ""Directing"", ""gender"": 2, ""id"": 1704, ""job"": ""Director"", ""name"": ""Gore Verbinski""}]"
49521,"[{""cast_id"": 2, ""character"": ""Clark Kent / Kal-El"", ""credit_id"": ""52fe4799c3a36847f813e605"", ""gender"": 2, ""id"": 73968, ""name"": ""Henry Cavill"", ""order"": 0}, {""cast_id"": 3, ""character"": ""Lois Lane"", ""credit_id"": ""52fe4799c3a36847f813e609"", ""gender"": 1, ""id"": 9273, ""name"": ""Amy Adams"", ""order"": 1}, {""cast_id"": 9, ""character"": ""General Zod"", ""credit_id"": ""52fe4799c3a36847f813e61b"", ""gender"": 2, ""id"": 335, ""name"": ""Michael Shannon"", ""order"": 2}]","[{""credit_id"": ""52fe4799c3a36847f813e601"", ""department"": ""Directing"", ""gender"": 2, ""id"": 15217, ""job"": ""Director"", ""name"": ""Zack Snyder""}]"
